TEST CASE ID,Module,Type,TEST CASE DESCRIPTION,Prerequisite,Steps,EXPECTED RESULT,Remark
TC-SSMK-LIN-TS-001,dc_native,Functional,TroubleShootingTool surfaces SSMK status,Run dcttroubleshooting,"1. Run tool
2. Inspect output",Output shows per-module key UUIDs (masked) and last rotation time; no plaintext secrets,Functional
TC-SSMK-LIN-REG-001,dc_native,Functional,Linux dcregister installer triggers initial key share,Fresh install,"1. Install Linux agent
2. Confirm immediate /keyShareRequest call",Initial key share fires within first 30s; vault populated before first status upload,Happy
TC-SSMK-LIN-PROXY-001,dc_native,Functional,Linux RemoteOfficeHandler uses AGENT_UTILS-encrypted proxy creds,Proxy set,"1. Install agent with proxy
2. Trigger remote office sync",Creds decrypted; sync succeeds,Integration
TC-SSMK-LIN-INV-001,dc_native,Functional,Inventory invdatacollector posts signed payload,Linux,"1. Trigger inventory scan
2. Capture HTTP body",Body is AES-GCM blob; tag valid; server accepts,Integration
TC-SSMK-LIN-HTTP-001,dc_native,Negative,HttpGetter handles SSMK 412 ""key mismatch"" gracefully,Force key mismatch,"1. Cause agent to send with old key
2. Server returns 412
3. Observe",Agent triggers key share refresh and retries once; user data not lost,Failure
TC-SSMK-LIN-HTTP-002,dc_native,Security,HTTP layer does not log plaintext keys,DEBUG log enabled,"1. Trigger full registration with DEBUG
2. Search log for raw key bytes",No raw key bytes / token bodies present; keys logged only as masked UUID,Security
TC-SSMK-LIN-DB-001,dc_native,Functional,sqlite package opens vault with WAL mode,Linux,"1. Open vault under PRAGMA inspection",journal_mode=WAL; synchronous=NORMAL; foreign_keys ON,Config
TC-SSMK-LIN-DB-002,dc_native,Edge,sqlite package handles UTF-8 keys in metadata,Insert non-ASCII metadata,"1. Insert through API
2. Re-read",Round-trip equal; no encoding loss,Edge
TC-SSMK-LIN-DB-003,dc_native,Negative,sqlite package errors on write to read-only filesystem,Mount RO,"1. Trigger write
2. Observe",Error returned; agent logs and continues with cached state,Failure
TC-SSMK-LIN-CRYPTO-001,dc_native,Functional,datavaultcrypto round-trip encrypt/decrypt,Unit-style on device,"1. Encrypt 100KB blob
2. Decrypt
3. Compare",Decrypt equals original; tag valid,Happy
TC-SSMK-LIN-CRYPTO-002,dc_native,Negative,datavaultcrypto rejects bit-flipped ciphertext,Same as above,"1. Encrypt
2. Flip 1 bit
3. Decrypt",Returns auth-failure error; no panic,Security
TC-SSMK-LIN-CRYPTO-003,dc_native,Edge,datavaultcrypto handles empty payload,Edge,"1. Encrypt 0-byte
2. Decrypt",Round-trip empty; no out-of-bound,Edge
TC-SSMK-LIN-ERR-001,dc_native,Functional,errors package wraps SSMK error chain,Trigger 412,"1. Inspect error",Wrapped with key-mismatch sentinel; unwrap correctly returns root,Functional
TC-SSMK-MAC-KS-001,agent-utils,Functional,Mac KeyShare retrieves service keys via dynamic key,Mac agent registered,"1. Trigger key share
2. Inspect /var/Mobile.../UEMS_MAC_AGENT vault",Each service module key persisted; signed with dynamic key,Happy
TC-SSMK-MAC-KS-002,agent-utils,Negative,Mac KeyShare handles missing UUID timestamp,Vault rows without ts,"1. Force fetch
2. Verify",Missing-ts treated as 0; not crash; key fetched fresh,BUG SCENARIO B6
TC-SSMK-MAC-KS-003,agent-utils,Negative,Mac KeyShare handles isKeyAtAdaptionStage as String,DS returns ""true""/""false""/missing,"1. Iterate all three
2. Observe",All variants parsed; adaption flag set correctly,BUG SCENARIO B6
TC-SSMK-MAC-KS-004,agent-utils,Negative,Mac KeyShare handles duplicate auth reset request,Issue duplicate,"1. Send same auth reset twice
2. Observe",Second is no-op; no inflight stuck; logs ""duplicate ignored"",BUG SCENARIO
TC-SSMK-MAC-KS-005,agent-utils,Functional,Skip servlet call for UUIDs not mapped locally,Vault has stale UUID,"1. Trigger rotation
2. Verify",Stale UUIDs filtered before HTTP call; only valid local modules in request,Functional
TC-SSMK-MAC-MIG-001,agent-utils,Migration,AuthPropsMigration moves tokens to vault,Pre-SSMK Mac build,"1. Upgrade to SSMK
2. Inspect AuthProps.plist + vault",Tokens removed from plist; present (encrypted) in vault,Upgrade
TC-SSMK-MAC-MIG-002,agent-utils,Migration,Per-token failure does not abort migration of other tokens,Pre-SSMK with one corrupt token,"1. Upgrade
2. Inspect migration log",Failed token logged; others migrated; migration marked partial success,BUG SCENARIO B7
TC-SSMK-MAC-MIG-003,agent-utils,Functional,DynamicKey stored to vault at auth-token level,Mac upgrade,"1. Upgrade
2. Inspect vault keys",DynamicKey row present; encrypted with FRAMEWORK key,Happy
TC-SSMK-MAC-MIG-004,agent-utils,Negative,Migration retries on transient KeyChain failure,Force keychain busy,"1. Trigger migration
2. Observe",Retry with backoff; success on next attempt; no duplicate entry,Retry
TC-SSMK-MAC-PROXY-001,agent-utils,Migration,ProxyCredentialMigration moves proxy password to vault,Pre-SSMK with proxy set,"1. Upgrade
2. Inspect plist + vault",Vault has proxy entry encrypted with AGENT_UTILS key; plist entry removed,Upgrade
TC-SSMK-MAC-PROXY-002,agent-utils,Security,No plaintext proxy remnant in plist post-migration,Post upgrade,"1. grep plist file",No plaintext password remains; only opaque vault refs,BUG SCENARIO B8
TC-SSMK-MAC-PROXY-003,agent-utils,Functional,Proxy decryption falls back when in adaption,DS rotating proxy key,"1. While AGENT_UTILS adaption, retrieve proxy
2. Observe",Decrypts with either old or new key; outbound succeeds,State transition
TC-SSMK-MAC-CRED-001,agent-utils,Functional,Credential Manager decrypts using FRAMEWORK key (shifted from SOM),Pre-SSMK creds in keychain,"1. Upgrade
2. Trigger module needing cred",Decrypted under FRAMEWORK key; logs note SOM->FRAMEWORK shift,State transition
TC-SSMK-MAC-CRED-002,agent-utils,Negative,DCCredentialMgr without master-key fallback (post-fix),Pre-SSMK creds,"1. Set vault entry only
2. Remove master-key fallback path
3. Decrypt",Succeeds using SSMK path only; old master-key path no longer attempted,Functional
TC-SSMK-MAC-CRED-003,agent-utils,Edge,DCCredentialMgr master-key fallback retained for pre-migration creds,Mid-upgrade state,"1. Decrypt pre-migration entry
2. Verify path",Falls back to master key for pre-migration; flagged for migration,Backward compat
TC-SSMK-MAC-CSR-001,agent-utils,Functional,CSR signing uses approval key,Mac registration,"1. Register fresh
2. Inspect CSR",CSR signed with approval key; DS accepts; cert issued,Security
TC-SSMK-MAC-CSR-002,agent-utils,Negative,CSR signing fails gracefully when approval key absent,Remove key,"1. Register
2. Observe",Registration fails with clear message; agent retries after key share,Failure
TC-SSMK-MAC-AUTH-001,agent-utils,Functional,Approval token URL includes API version,Trigger token fetch,"1. Capture HTTP",URL has v2 (or current) path segment,Functional
TC-SSMK-MAC-AUTH-002,agent-utils,Negative,Token decryption failure reports descriptive error,Corrupt token blob,"1. Trigger decrypt
2. Inspect log",Error includes token id and module; no raw bytes,Failure
TC-SSMK-MAC-XML-001,agent-utils,Functional,XML.Accessor children property returns only direct children,Unit-style on device,"1. Parse XML with nested children
2. Use children property",Returns only direct children; not deep descendants,Functional
TC-SSMK-MAC-RDS-001,framework-ops-suite,Functional,RDS actions use session signaling not console plist updates,Trigger RDS action,"1. Initiate RDS session
2. Verify no console plist mutation",signalRDSSession invoked; plist unchanged; notification posted,Refactor verify
TC-SSMK-MAC-PA-001,framework-ops-suite,Negative,PowerActions handles missing operation in shutdown task,Craft XML without operation,"1. Send action
2. Observe",Default applied; agent logs and refuses unsafe action,BUG SCENARIO
TC-SSMK-MAC-PA-002,framework-ops-suite,Edge,Reboot XML default values present when omitted,Send minimal XML,"1. Send",Defaults applied (e.g., delay 0); action executes safely,Edge
TC-SSMK-MAC-DMS-001,framework-ops-suite,Functional,DMSClient connects via WebSocket and authenticates,Server reachable,"1. Bring up DMS
2. Wait connect",WS handshake succeeds; auth frame accepted; client transitions to Ready,Happy
TC-SSMK-MAC-DMS-002,framework-ops-suite,Negative,DMSClient reconnect strategy backoff increases exponentially,Drop WS,"1. Drop connection
2. Capture reconnect intervals",Intervals 5s,10s,20s... capped; jitter applied; logs delay,Retry
TC-SSMK-MAC-DMS-003,framework-ops-suite,Negative,DMSReconnectionStrategy logs computed delay,Drop WS,"1. Inspect logs",Delay value present in log; same value used for sleep,Reporting
TC-SSMK-MAC-DMS-004,framework-ops-suite,Negative,WSTransport resets read deadline on pong reception,Idle channel >60s,"1. Wait
2. Send periodic pings",Pong received resets deadline; channel survives 5 min idle,BUG SCENARIO B9
TC-SSMK-MAC-DMS-005,framework-ops-suite,Functional,NS connect string includes approval token,Trigger NS connect,"1. Capture connect string",Includes approval token query param,Integration
TC-SSMK-MAC-DMS-006,framework-ops-suite,Functional,NS config fetched from on_demand_connection_config.json,Place file,"1. Start agent",Reads file; honors host/port; logs source,Config
TC-SSMK-MAC-DMS-007,framework-ops-suite,Functional,BSP WebMetering ondemand command (1104) executes,Server triggers 1104,"1. Receive
2. Execute",Action routes to BSP handler; result reported,Integration
TC-SSMK-MAC-DMS-008,framework-ops-suite,Functional,Sensitive payload not logged at INFO level,Trigger sensitive action,"1. Inspect log",Raw payload NOT logged at INFO; logged only at DEBUG if at all; non-sensitive logged raw,Security
TC-SSMK-MAC-DMS-009,framework-ops-suite,Functional,PayloadExtractor handles XML child iteration without skipping,Multi-child XML,"1. Send
2. Verify",All children processed; no off-by-one,BUG SCENARIO
TC-SSMK-MAC-DCFG-001,framework-ops-suite,Functional,dcconfig syncs provisional token then issues client cert,Fresh registration,"1. Register fresh Mac agent",Provisional token synced; CSR signed; cert installed,Integration
TC-SSMK-MAC-DCFG-002,framework-ops-suite,Edge,dcconfig path uses ""/"" not ""//"" in URL,Capture request,"1. Inspect URL",No double-slash; matches DS contract,BUG SCENARIO
TC-SSMK-MAC-UPG-001,framework-ops-suite,Migration,Mac upgrader pre-upgrade handler validates vault writable,Disk near full,"1. Upgrade
2. Observe",Pre-upgrade aborts if vault not writable; agent left functional,Upgrade
TC-SSMK-MAC-UPG-002,framework-ops-suite,Functional,Mac upgrader post-upgrade handler reports SSMK status,Upgrade,"1. Upgrade
2. Inspect post-upgrade log",SSMK migration result reported; DS receives status,Reporting
TC-SSMK-INT-AGENTDS-001,cross-cutting,Integration,New agent + new DS happy path E2E,All SSMK build,"1. Install agent
2. Register
3. Rotate
4. Send inventory
5. Trigger ondemand command",All steps succeed; no key-mismatch errors,E2E
TC-SSMK-INT-AGENTDS-002,cross-cutting,Compat,New agent + old DS (downgrade scenario),Old DS build,"1. Point new agent at old DS
2. Register
3. Send status",Either: agent falls back gracefully (if supported) OR fails fast with clear error; no silent data corruption,Compat
TC-SSMK-INT-AGENTDS-003,cross-cutting,Compat,Old agent + new DS,Old agent,"1. Old agent registers with SSMK DS
2. Status update
3. Rotation triggered",Old agent ignores rotation; DS treats as legacy; communication preserved,Compat
TC-SSMK-INT-AGENTDS-004,cross-cutting,Integration,Mixed Win+Mac+Linux fleet rotation,1 of each,"1. Rotate ALL modules simultaneously across fleet
2. Verify each agent picks new keys",All 3 platforms converge to new keys within 10 minutes; no stragglers,E2E
TC-SSMK-INT-AGENTDS-005,cross-cutting,Negative,Network outage during key share for entire fleet,Drop egress 5 min,"1. Trigger fleet-wide rotation
2. Restore network",On restore, agents pull new keys and resume; no need for manual intervention,Resilience
TC-SSMK-INT-AGENTDS-006,cross-cutting,Negative,DS DB unavailable mid-rotation,Stop DS DB,"1. Begin rotation
2. Stop DB
3. Restart DB",Rotation resumes / re-issues; agents not stranded with adaption key,Resilience
TC-SSMK-INT-AGENTDS-007,cross-cutting,E2E,Software deployment using SSMK-encrypted package URL,DS,"1. Deploy software task to agent
2. Verify pkg downloaded and installed",Pkg URL/credentials decrypted under correct module key; deployment succeeds,E2E
TC-SSMK-INT-AGENTDS-008,cross-cutting,E2E,Patch deployment under SSMK,DS,"1. Trigger patch
2. Agent downloads, installs, reports",Full lifecycle works; status uploaded under PATCH module key,E2E
TC-SSMK-CLN-UNINST-001,cross-cutting,Cleanup,Uninstall removes vault + per-module keys,Installed agent,"1. Uninstall
2. Scan filesystem + registry",No vault files, no key blobs, no stale registry SSMK entries,Cleanup
TC-SSMK-CLN-UNINST-002,cross-cutting,Cleanup,Reinstall after uninstall creates clean vault,Post-uninstall machine,"1. Reinstall
2. Inspect vault",Fresh vault; no leftover keys; registration succeeds,Cleanup
TC-SSMK-CLN-UNINST-003,cross-cutting,Cleanup,Uninstall on Mac removes keychain entries,Mac install,"1. Uninstall
2. security find-generic-password",No SSMK / UEMS items left in keychain,Cleanup
TC-SSMK-CROSS-LOC-001,cross-cutting,Cross-Env,SSMK works under non-en_US locale (de_DE / ja_JP),Locale set,"1. Install
2. Rotate
3. Decrypt",No string-format/locale-related crashes; success identical to en_US,Cross-env
TC-SSMK-CROSS-CLOCK-001,cross-cutting,Edge,Agent clock skew (+/- 1 hour) does not break key share,Set system clock +1h,"1. Trigger key share",Succeeds; timestamps reconciled; rotation works,Edge
TC-SSMK-CROSS-OFFLINE-001,cross-cutting,Edge,Agent works offline for 24h with cached keys,Disconnect 24h,"1. Disconnect
2. Reconnect after 24h",Cached keys still valid; reconnect refreshes; no data lost,Edge
TC-SSMK-CROSS-RBT-001,cross-cutting,Functional,Endpoint reboot during adaption window completes rotation,Adaption ongoing,"1. Reboot mid-adaption
2. After boot, observe",Rotation completes; agent uses new key; logs note resume,State transition
TC-SSMK-PERF-001,cross-cutting,Performance,Key share latency under load <5s p95,Fleet of 1000 simulated agents,"1. Trigger fleet rotation
2. Measure",p95 <=5s; no 5xx > 0.1%,Performance
TC-SSMK-PERF-002,cross-cutting,Performance,Vault read latency <50ms p95,Soak,"1. 1M reads
2. Measure",p95 <=50ms,Performance
TC-SSMK-SEC-AUDIT-001,cross-cutting,Security,No plaintext key visible in memory dump,Agent running,"1. Trigger memory dump
2. Strings on dump",No raw 32-byte keys observable in clear (best-effort; expected zeroized after use),Security
TC-SSMK-SEC-AUDIT-002,cross-cutting,Security,No plaintext key in core dump or crash report,Force crash,"1. Trigger crash
2. Inspect dump",No raw keys; only opaque blobs,Security
TC-SSMK-SEC-AUDIT-003,cross-cutting,Security,Audit log records all key rotations,Rotate 3 keys,"1. Inspect audit log",3 rotation events with module id, timestamp, requester; no key bytes,Audit
TC-SSMK-CFG-001,uems_agent_utils,Config,New build constants in CryptoUtilConfig.h compile and link,Build agent,"1. Build x86 and x64 sln
2. Verify",Both builds succeed; new UEMSAesChiperUtils.lib linked; no symbol clash,Build
TC-SSMK-CFG-002,uems_agent_utils,Config,ant.properties / UEMSBuild.py changes produce correct artifact list,Run build,"1. Build
2. List output",Artifacts include UEMSAesChiperUtils dll/lib; signing applied,Build
TC-SSMK-CFG-003,cross-cutting,Config,Setup installer carries SSMK dependencies,Run installer,"1. Inspect MSI/PKG",Required DLLs/dylibs present and signed,Packaging
TC-SSMK-REG-001,regression,Regression,Existing fresh-install regression (TC_001 family) passes on SSMK build,Existing CSV,"1. Run existing TC_001..TC_020 from windows-and-ds CSV",All pass with no SSMK-related failure,Regression
TC-SSMK-REG-002,regression,Regression,Existing proxy regression suite passes on SSMK build,Existing CSV,"1. Run proxy TCs from existing CSVs",All pass,Regression
TC-SSMK-REG-003,regression,Regression,Existing patch-deployment regression passes,Existing CSV,"1. Run patch TCs",All pass,Regression
TC-SSMK-REG-004,regression,Regression,Existing inventory regression passes,Existing CSV,"1. Run inventory TCs",All pass,Regression
TC-SSMK-REG-005,regression,Regression,Existing remote-control / RDS regression passes,Existing CSV,"1. Run RDS TCs",All pass,Regression
