Testcase ID,Functionality,Sub-Functionality,Title,Pre-requisites,Steps,Expected Output,Support Files,Platform,OS Version,Priority,Category,Remarks,Actual Output,Status - OP,Status - Cloud,Issue ID
TC-AGENTINSTALL-PUSHINSTALL-001,Agent Installation,PUSHINSTALL,Push install on Local Office agent (x64) - happy path,Clean target machine (no agent). Admin/domain credentials configured in server. WMI reachable; ports open between server and target.,"1. Pre-clean target machine (see cleanup TC).
2. In console: Agent > Scope of Management > Computers > Add Computers; add domain/workgroup with admin credentials. [Qengine browser]
3. Select the target from the discovered list and click Install Agents. [Qengine browser]
4. Server copies installer over the network using admin credentials and runs it silently.
1. Record target architecture: run `wmic os get osarchitecture` (use $env:PROCESSOR_ARCHITECTURE for ARM64). [run_command]
2. In UEMS console (Agent > Scope of Management > Computers) confirm the machine is listed under the correct office with remark ""Agent Installed successfully"" / status Active. [Qengine browser]
3. Verify service ""ManageEngine UEMS Agent Service"" exists and is RUNNING. [service_actions: status -> running]
4. Verify startup type Automatic: HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\..\SYSTEM\CurrentControlSet\Services\DCAgent -> Start = 2. [registry_operation: read_key]
5. Verify registry keys ServerName, ServerPort, AgentVersion, InstallDir under HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\ (x86 uses HKLM\SOFTWARE\AdventNet\DesktopCentral\DCAgent\\). [registry_operation: read_key]
6. Verify install dir C:\Program Files (x86)\ManageEngine\UEMS_Agent\\ exists with bin\, conf\, logs\ subfolders (x86 uses C:\Program Files\ManageEngine\UEMS_Agent\\). [file_folder_operation: check_presence]
7. Verify process DCAgentService.exe is running. [task_manager: verify_process]
8. Verify C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log shows the expected Central Server/DS as the communication target.","Architecture recorded. Machine shows Active in console under the correct office. Service ""ManageEngine UEMS Agent Service"" RUNNING with Start=2. Registry keys populated with correct ServerName (Central Server IP for Local/Direct, DS IP for Remote-via-DS). Install directory and sub-folders present for the architecture. Process DCAgentService.exe running. DCAgentService.log confirms communication target. Push completed with no interaction on the endpoint; ServerName = Central Server IP.",C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log; HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\; C:\Program Files (x86)\ManageEngine\UEMS_Agent\\; Windows Services (services.msc); UEMS console SoM page (browser),windows,Windows 11 (x64),P1,Success / Happy Path,Local Office. Repeat for x86 and ARM64 per matrix.,,,,
TC-AGENTINSTALL-PUSHINSTALL-002,Agent Installation,PUSHINSTALL,Push install on Remote Office agent - Direct Communication (x64),Remote Office created with communication type = Direct Communication. Admin creds configured. Target reachable from server over WAN.,"1. Pre-clean target.
2. Console: Agent > Remote Offices > add/modify the remote office; ensure Direct Communication. [Qengine browser]
3. Add the target via Add Computers and trigger push. [Qengine browser]
1. Record target architecture: run `wmic os get osarchitecture` (use $env:PROCESSOR_ARCHITECTURE for ARM64). [run_command]
2. In UEMS console (Agent > Scope of Management > Computers) confirm the machine is listed under the correct office with remark ""Agent Installed successfully"" / status Active. [Qengine browser]
3. Verify service ""ManageEngine UEMS Agent Service"" exists and is RUNNING. [service_actions: status -> running]
4. Verify startup type Automatic: HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\..\SYSTEM\CurrentControlSet\Services\DCAgent -> Start = 2. [registry_operation: read_key]
5. Verify registry keys ServerName, ServerPort, AgentVersion, InstallDir under HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\ (x86 uses HKLM\SOFTWARE\AdventNet\DesktopCentral\DCAgent\\). [registry_operation: read_key]
6. Verify install dir C:\Program Files (x86)\ManageEngine\UEMS_Agent\\ exists with bin\, conf\, logs\ subfolders (x86 uses C:\Program Files\ManageEngine\UEMS_Agent\\). [file_folder_operation: check_presence]
7. Verify process DCAgentService.exe is running. [task_manager: verify_process]
8. Verify C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log shows the expected Central Server/DS as the communication target.","Architecture recorded. Machine shows Active in console under the correct office. Service ""ManageEngine UEMS Agent Service"" RUNNING with Start=2. Registry keys populated with correct ServerName (Central Server IP for Local/Direct, DS IP for Remote-via-DS). Install directory and sub-folders present for the architecture. Process DCAgentService.exe running. DCAgentService.log confirms communication target. Agent registers directly with Central Server (ServerName = Central Server IP); listed under the Remote Office.",C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log; HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\; C:\Program Files (x86)\ManageEngine\UEMS_Agent\\; Windows Services (services.msc); UEMS console SoM page (browser),windows,Windows 11 (x64),P1,Cross-Environment,Remote Office (Direct). Installer binary is <RemoteOfficeName>_Agent.exe.,,,,
TC-AGENTINSTALL-PUSHINSTALL-003,Agent Installation,PUSHINSTALL,Push install on Remote Office agent - via Distribution Server (x64),"Remote Office with communication type = Through Distribution Server. DS installed, Active, and has replicated agent binaries. Admin creds configured.","1. Pre-clean target.
2. Confirm DS is Active and binaries replicated (DS replication logs). [Qengine browser]
3. Console: add target under the Remote Office and trigger push. [Qengine browser]
1. Record target architecture: run `wmic os get osarchitecture` (use $env:PROCESSOR_ARCHITECTURE for ARM64). [run_command]
2. In UEMS console (Agent > Scope of Management > Computers) confirm the machine is listed under the correct office with remark ""Agent Installed successfully"" / status Active. [Qengine browser]
3. Verify service ""ManageEngine UEMS Agent Service"" exists and is RUNNING. [service_actions: status -> running]
4. Verify startup type Automatic: HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\..\SYSTEM\CurrentControlSet\Services\DCAgent -> Start = 2. [registry_operation: read_key]
5. Verify registry keys ServerName, ServerPort, AgentVersion, InstallDir under HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\ (x86 uses HKLM\SOFTWARE\AdventNet\DesktopCentral\DCAgent\\). [registry_operation: read_key]
6. Verify install dir C:\Program Files (x86)\ManageEngine\UEMS_Agent\\ exists with bin\, conf\, logs\ subfolders (x86 uses C:\Program Files\ManageEngine\UEMS_Agent\\). [file_folder_operation: check_presence]
7. Verify process DCAgentService.exe is running. [task_manager: verify_process]
8. Verify C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log shows the expected Central Server/DS as the communication target.","Architecture recorded. Machine shows Active in console under the correct office. Service ""ManageEngine UEMS Agent Service"" RUNNING with Start=2. Registry keys populated with correct ServerName (Central Server IP for Local/Direct, DS IP for Remote-via-DS). Install directory and sub-folders present for the architecture. Process DCAgentService.exe running. DCAgentService.log confirms communication target. ServerName registry value = DS IP (not Central Server). DCAgentService.log shows DS as communication target.",C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log; HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\; C:\Program Files (x86)\ManageEngine\UEMS_Agent\\; Windows Services (services.msc); UEMS console SoM page (browser),windows,Windows 11 (x64),P1,Cross-Environment,Remote Office (via DS).,,,,
TC-AGENTINSTALL-PUSHINSTALL-004,Agent Installation,PUSHINSTALL,Force push via UEMSRemoteInstaller only (method isolation),Target reachable. Admin creds configured. Access to server/DS bin folder.,"1. Rename C:\Program Files (x86)\ManageEngine\UEMS_Agent\bin\\remcom.exe -> remcom.exe.bak. [file_folder_operation: rename]
2. Rename C:\Program Files (x86)\ManageEngine\UEMS_Agent\bin\\remcom64.exe -> remcom64.exe.bak (if present). [file_folder_operation: rename]
3. Stop WMI: `net stop winmgmt /y`. [service_actions: stop]
4. Add target to SoM and trigger push. [Qengine browser]
5. Verify service ""ManageEngine UEMS Agent Service"" is RUNNING. [service_actions: status]
6. TEARDOWN: `net start winmgmt`; rename remcom.exe.bak/remcom64.exe.bak back to original. [service_actions: start / file_folder_operation: rename]",Push succeeds using only UEMSRemoteInstaller.exe. Agent service RUNNING. Original filenames and WMI restored after the test.,C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log; HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\; C:\Program Files (x86)\ManageEngine\UEMS_Agent\\; Windows Services (services.msc); UEMS console SoM page (browser); C:\Program Files (x86)\ManageEngine\UEMS_Agent\bin\\,windows,Windows 11 (x64),P2,Retry / Recovery,Method isolation. Teardown MUST restore renamed files - RETRY SCENARIO.,,,,
TC-AGENTINSTALL-PUSHINSTALL-005,Agent Installation,PUSHINSTALL,Force push via WMI only (method isolation),Target reachable. Admin creds configured. WMI accessible.,"1. Rename C:\Program Files (x86)\ManageEngine\UEMS_Agent\bin\\UEMSRemoteInstaller.exe -> .bak. [file_folder_operation: rename]
2. Rename C:\Program Files (x86)\ManageEngine\UEMS_Agent\bin\\remcom.exe -> .bak (and remcom64.exe if present). [file_folder_operation: rename]
3. Ensure WMI service is running: `net start winmgmt`. [service_actions: start]
4. Add target to SoM and trigger push. [Qengine browser]
5. Verify ""ManageEngine UEMS Agent Service"" RUNNING. [service_actions: status]
6. TEARDOWN: rename all .bak files back to original. [file_folder_operation: rename]",Push succeeds using only the WMI method. Agent service RUNNING. Filenames restored.,C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log; HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\; C:\Program Files (x86)\ManageEngine\UEMS_Agent\\; Windows Services (services.msc); UEMS console SoM page (browser); C:\Program Files (x86)\ManageEngine\UEMS_Agent\bin\\,windows,Windows 11 (x64),P2,Retry / Recovery,Method isolation - RETRY SCENARIO.,,,,
TC-AGENTINSTALL-PUSHINSTALL-006,Agent Installation,PUSHINSTALL,Force push via Remcom only (method isolation),Target reachable. Admin creds configured.,"1. Rename C:\Program Files (x86)\ManageEngine\UEMS_Agent\bin\\UEMSRemoteInstaller.exe -> .bak. [file_folder_operation: rename]
2. Stop WMI: `net stop winmgmt /y`. [service_actions: stop]
3. Add target to SoM and trigger push. [Qengine browser]
4. Verify ""ManageEngine UEMS Agent Service"" RUNNING. [service_actions: status]
5. TEARDOWN: `net start winmgmt`; rename UEMSRemoteInstaller.exe.bak back. [service_actions: start / file_folder_operation: rename]",Push succeeds using only remcom.exe / remcom64.exe. Agent service RUNNING. WMI and filename restored.,C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log; HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\; C:\Program Files (x86)\ManageEngine\UEMS_Agent\\; Windows Services (services.msc); UEMS console SoM page (browser); C:\Program Files (x86)\ManageEngine\UEMS_Agent\bin\\,windows,Windows 11 (x64),P2,Retry / Recovery,Method isolation - RETRY SCENARIO.,,,,
TC-AGENTINSTALL-PUSHINSTALL-007,Agent Installation,PUSHINSTALL,Push fallback chain - UEMSRemoteInstaller fails then WMI succeeds,Target reachable. Admin creds configured.,"1. Make UEMSRemoteInstaller path unusable (rename UEMSRemoteInstaller.exe -> .bak). [file_folder_operation: rename]
2. Keep WMI running and remcom present.
3. Trigger push from server. [Qengine browser]
4. Observe server logs: first method fails, fallback proceeds to WMI.
5. Verify ""ManageEngine UEMS Agent Service"" RUNNING. [service_actions: status]
6. TEARDOWN: restore UEMSRemoteInstaller.exe. [file_folder_operation: rename]",Server attempts UEMSRemoteInstaller -> WMI in order; WMI succeeds; agent installs. Service RUNNING.,C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log; HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\; C:\Program Files (x86)\ManageEngine\UEMS_Agent\\; Windows Services (services.msc); UEMS console SoM page (browser); C:\Program Files (x86)\ManageEngine\UEMS_Agent\bin\\,windows,Windows 11 (x64),P2,Retry / Recovery,Fallback order UEMSRemoteInstaller -> WMI -> remcom. RETRY SCENARIO.,,,,
TC-AGENTINSTALL-PUSHINSTALL-008,Agent Installation,PUSHINSTALL,Push install - x86 (32-bit) path and registry verification,Clean 32-bit Windows target. Admin creds configured.,"1. Confirm architecture = 32-bit. [run_command: wmic os get osarchitecture]
2. Trigger push from server. [Qengine browser]
3. Verify install dir C:\Program Files\ManageEngine\UEMS_Agent\\ (NOT Program Files (x86)). [file_folder_operation: check_presence]
4. Verify registry under HKLM\SOFTWARE\AdventNet\DesktopCentral\DCAgent\\ (direct hive, not WOW6432Node). [registry_operation: read_key]
5. Verify ""ManageEngine UEMS Agent Service"" RUNNING. [service_actions: status]",Agent installed to C:\Program Files\ManageEngine\UEMS_Agent\\ with registry under the direct AdventNet hive. Service RUNNING.,C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log; HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\; C:\Program Files (x86)\ManageEngine\UEMS_Agent\\; Windows Services (services.msc); UEMS console SoM page (browser),windows,Windows 10 (x86),P2,Cross-Environment,x86 path/hive differ from x64.,,,,
TC-AGENTINSTALL-PUSHINSTALL-009,Agent Installation,PUSHINSTALL,Push install - ARM64 under emulation,"Clean ARM64 Windows 11 target (e.g., Surface Pro X / Snapdragon). Admin creds configured.","1. Confirm architecture = ARM64. [run_command: $env:PROCESSOR_ARCHITECTURE]
2. Trigger push from server. [Qengine browser]
3. Verify install dir C:\Program Files (x86)\ManageEngine\UEMS_Agent\\ (emulated). [file_folder_operation: check_presence]
4. Verify registry under HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\. [registry_operation]
5. Verify DCAgentService.exe runs under emulation; check Event Viewer for emulation warnings. [task_manager]",Agent installs and runs under x86/x64 emulation on ARM64 without errors; no emulation failures in Event Viewer.,C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log; HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\; C:\Program Files (x86)\ManageEngine\UEMS_Agent\\; Windows Services (services.msc); UEMS console SoM page (browser),windows,Windows 11 (ARM64),P2,Cross-Environment,ARM64 emulation; possible perf overhead.,,,,
TC-AGENTINSTALL-PUSHINSTALL-010,Agent Installation,PUSHINSTALL,Push install fails with invalid admin credentials,Target reachable. Configure incorrect admin credentials in server.,"1. Configure invalid admin credentials for the target. [Qengine browser]
2. Trigger push install. [Qengine browser]
3. Observe SoM remark.",Push fails with an authentication/access error; SoM remark reflects credential failure. No service/registry created on target.,UEMS console SoM remark; HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\,windows,Windows 11 (x64),P2,Negative Cases,FAILURE SCENARIO,,,,
TC-AGENTINSTALL-PUSHINSTALL-011,Agent Installation,PUSHINSTALL,Push install fails with low-privilege credentials,Target reachable. A non-admin (standard) user account available.,"1. Configure a low-privilege user credential for the target. [Qengine browser]
2. Trigger push install. [Qengine browser]
3. Observe failure.",Push fails (insufficient privilege / network name not available). Agent not installed.,UEMS console SoM remark,windows,Windows 11 (x64),P2,Security / Permission,FAILURE SCENARIO,,,,
TC-AGENTINSTALL-PUSHINSTALL-012,Agent Installation,PUSHINSTALL,Push fails when File & Printer Sharing / network discovery disabled,Target machine with File & Printer Sharing disabled. Valid admin creds.,"1. On target, disable File and Printer Sharing / network discovery. [control panel - manual]
2. Trigger push install from server. [Qengine browser]
3. Observe error.","Push fails with ""network name not available"" (or equivalent). Agent not installed.",UEMS console SoM remark,windows,Windows 11 (x64),P2,Negative Cases,FAILURE SCENARIO,,,,
TC-AGENTINSTALL-PUSHINSTALL-013,Agent Installation,PUSHINSTALL,Push install on unsupported OS (below Windows 7),Target running an OS below Windows 7.,"1. Trigger push install on the legacy OS target. [Qengine browser]
2. Observe result.",Installation does not succeed; server reports unsupported OS / failure.,UEMS console SoM remark,windows,Below Windows 7,P3,Negative Cases,Must fail.,,,,
TC-AGENTINSTALL-PUSHINSTALL-014,Agent Installation,PUSHINSTALL,Push install on unsupported Windows Server (below 2008 R2),Target running Windows Server below 2008 R2.,"1. Trigger push install. [Qengine browser]
2. Observe result.",Installation fails; unsupported server OS reported.,UEMS console SoM remark,windows,Windows Server < 2008 R2,P3,Negative Cases,Must fail.,,,,
TC-AGENTINSTALL-PUSHINSTALL-015,Agent Installation,PUSHINSTALL,Push fails when required ports blocked by firewall,Target reachable on network but admin/WMI ports blocked by firewall.,"1. Block the server-to-target ports / WMI on the target firewall. [manual]
2. Trigger push install. [Qengine browser]
3. Restore firewall after test.",Push fails to connect; appropriate connectivity error shown. Agent not installed.,UEMS console SoM remark; target firewall config,windows,Windows 11 (x64),P2,Failure / Error Handling,FAILURE SCENARIO,,,,
TC-AGENTINSTALL-PUSHINSTALL-016,Agent Installation,PUSHINSTALL,Concurrent push to many machines,Multiple clean targets reachable. Admin creds configured.,"1. Add a batch of targets to SoM. [Qengine browser]
2. Trigger push install on all simultaneously. [Qengine browser]
3. Validate each target post-install. 1. Record target architecture: run `wmic os get osarchitecture` (use $env:PROCESSOR_ARCHITECTURE for ARM64). [run_command]",All targets install successfully without resource contention; each reaches Active with service RUNNING.,C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log; HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\; C:\Program Files (x86)\ManageEngine\UEMS_Agent\\; Windows Services (services.msc); UEMS console SoM page (browser),windows,Windows 11 (x64),P2,Concurrency / Race Conditions,CONCURRENCY SCENARIO,,,,
TC-AGENTINSTALL-PUSHINSTALL-017,Agent Installation,PUSHINSTALL,Push fails - DS has not yet replicated binaries (Access Denied),Remote Office via DS. DS freshly added; binary replication NOT yet complete.,"1. Add a remote office with DS and immediately add a target before replication finishes. [Qengine browser]
2. Trigger push install. [Qengine browser]
3. Observe SoM remark.
4. Wait for DS replication to complete, retry push, and confirm success.","Before replication: push fails with ""Access Denied"" remark. After replication completes: retry succeeds and agent installs.",DS replication logs; UEMS console SoM remark; C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log,windows,Windows 11 (x64),P1,Support Ticket Scenario,SUPPORT TICKET: DS-not-replicated-AccessDenied. Timing/race with DS replication.,,,,DS replication race
TC-AGENTINSTALL-PUSHINSTALL-018,Agent Installation,PUSHINSTALL,Push fails - All pipes are busy via UEMSRemoteInstaller,Remote Office / Local Office push using UEMSRemoteInstaller under load.,"1. Drive concurrent push operations through UEMSRemoteInstaller. [Qengine browser]
2. Observe the named-pipe error condition.
3. Verify fallback/retry behavior and final state.","Reproduce ""All pipes are busy"" from UEMSRemoteInstaller; confirm whether server falls back to WMI/remcom and final install state.",UEMS server push logs; C:\Program Files (x86)\ManageEngine\UEMS_Agent\bin\\,windows,Windows 11 (x64),P1,Support Ticket Scenario,SUPPORT TICKET: UEMSRemoteInstaller all-pipes-busy.,,,,Pipes busy
TC-AGENTINSTALL-PUSHINSTALL-019,Agent Installation,PUSHINSTALL,Push install causes endpoint blackscreen on builds 2540.01-2540.07,Target on agent build in the 2540.01-2540.07 range.,"1. Trigger push install with a build in 2540.01-2540.07. [Qengine browser]
2. Observe the endpoint display after install.
3. Confirm whether the machine goes to blackscreen.","Reproduce the blackscreen on the affected build range; confirm fix on patched builds (no blackscreen, normal logon).",Endpoint display; Event Viewer; C:\Program Files (x86)\ManageEngine\UEMS_Agent\logs\DCAgentService.log,windows,Build 2540.01-2540.07,P1,Bug Scenario,BUG SCENARIO. Build-specific 2540.01-2540.07.,,,,Blackscreen
TC-AGENTINSTALL-PUSHINSTALL-020,Agent Installation,PUSHINSTALL,Pre-install cleanup before push (clean-state baseline),Target may have a stale/previous agent.,"1. Check whether a UEMS agent is already installed (Control Panel > Programs, service list, HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\). [file_folder_operation/registry_operation]
2. If present, uninstall it (server console Uninstall Agent, or silent: C:\Program Files (x86)\ManageEngine\UEMS_Agent\bin\\DCAgent.exe /uninstall /s). [run_bat]
3. Verify the entry is removed from Control Panel / Apps. [native_gui_operation]
4. Verify service ""ManageEngine UEMS Agent Service"" is absent or stopped. [service_actions: status]
5. Verify no DCAgentService.exe process is running. [task_manager: verify_process]
6. Verify agent registry keys under HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\ are removed. [registry_operation: read_key]","Machine is in a clean state: no agent in Control Panel, service absent/stopped, no DCAgentService.exe process, agent registry keys removed.",Control Panel; Services; Task Manager; HKLM\SOFTWARE\WOW6432Node\AdventNet\DesktopCentral\DCAgent\\,windows,Windows 11 (x64),P1,Cleanup / Uninstall,Baseline cleanup reused by all install TCs.,,,,
