TC ID,Category,Priority,Pre-Requisites,Objective,Detailed Steps,,Test Data / Input,Expected Result,Log / DB Verification,OS Platform,Related Ticket / Workflow,Status
DC_NS_NEW_09,IOCP / Threading / Concurrency,High,NS running; load generator capable of opening many sockets.,Verify concurrent registration of 500+ agents does not corrupt regClientList,"1. Launch a load generator that opens 500-2000 sockets in parallel.
2. Send a REGISTER frame with a unique resourceID on each socket.
3. After ramp-up query the regClientList (or count entries in dcnsclientaccess).
4. Verify each resourceID appears exactly once.
5. Confirm gv_regClientCnt equals the number of unique IDs and NS did not crash.",,500-2000 concurrent agents.,All agents registered exactly once; no crash; no list corruption.,regClientList count = unique IDs; dcnsclientaccess matches.,Windows,ARCHITECTURE: gv_csClientRegisteration,
DC_NS_NEW_10,IOCP / Threading / Concurrency,High,NS running with at least one registered agent.,Verify duplicate resourceID overwrites and frees old context,"1. Capture dcnotificationserver.exe handle count in Process Explorer (baseline).
2. From a new socket, re-register the same agent (same resourceID).
3. Confirm the old socket is force-disconnected.
4. Capture handle count again.",,Same resourceID re-registered.,New context replaces old; old socket force-disconnected and freed; handle count returns to baseline.,dcnsclientaccess: overwrite entry; handle count stable.,Windows,WORKFLOW Sec.2 - duplicate ID overwrite,
DC_NS_NEW_11,IOCP / Threading / Concurrency,High,NS running with many agents.,Verify NS handle count is stable over a 24h soak,"1. Start NS and a churn workload that registers and unregisters agents continuously.
2. Run for 24 hours.
3. Every hour record handle count and memory of dcnotificationserver.exe.
4. Plot handle/memory over time and check for monotonic growth.",,Registration churn for 24h.,Handle count returns to baseline +/- small variance; no monotonic growth.,Hourly Process Explorer samples.,Windows,Ticket 95417,
DC_NS_NEW_12,IOCP / Threading / Concurrency,Medium,NS running with registered agents.,Verify abnormal client disconnect frees context,"1. Pick a registered agent.
2. Run Sysinternals 'pskill' or Task Manager 'End Task' on the agent process to force termination.
3. On the server, watch dcnotificationserver memory and regClientList.
4. Confirm the dead agent is removed.",,Forced agent termination.,RemoveClientFromHashAndMemory invoked; FreeUpMemory called; dead agent removed.,dcnsclientaccess: disconnect entry; regClientList no longer contains agent.,Windows,WORKFLOW Sec.3 - bytes==0 path,
DC_NS_NEW_13,Service Lifecycle,Medium,NS installed.,Verify '-a reinstall' does Stop -> Uninstall -> Install in order,"1. Open an admin command prompt.
2. Run: dcnotificationserver.exe -a reinstall.
3. Tail dcnotificationserverlog while it runs.
4. Confirm service state transitions in services.msc.",,Action = reinstall.,Sequence Stop -> Uninstall -> Install; service ends in Running state.,dcnotificationserverlog + nscontroller.log entries.,Windows,WORKFLOW Sec.1,
DC_NS_NEW_14,Configuration / Port,Medium,Choose a free port.,Verify '-a changeport' switches listen port without reinstall,"1. Run: dcnotificationserver.exe -a changeport -k <newport>.
2. Wait for NS restart.
3. Run: netstat -ano | findstr <newport>.
4. Open dcnssettings.conf and confirm the port.
5. Query dcnsdetails table and confirm the port.",,Free port.,Service restarts; listens on new port; conf + DB updated.,netstat + dcnssettings.conf + dcnsdetails.,Windows,WORKFLOW Sec.1,
DC_NS_NEW_15,Failover / DS / Secondary Server,High,Primary DC and FOS configured.,Verify NS runs on exactly one node at any time,"1. On both Primary and FOS check NS service state initially.
2. Trigger a failover from Primary to FOS.
3. Immediately check NS service state on both nodes.
4. Wait 5 minutes and confirm only one node has NS Running.
5. Fail back to Primary and repeat.",,DC + FOS environment.,Exactly one node has NS Running at any moment; agent green/red status stable.,services.msc on both nodes; NS log on both.,Windows,Ticket 101997,
DC_NS_NEW_16,Failover / DS / Secondary Server,High,Secondary Server build available.,Verify NS service is created on Secondary Server during install,"1. On a fresh machine run the Secondary Server installer.
2. Wait for installation to complete.
3. Run: sc query dcnotificationserver.
4. Confirm Running state.",,Fresh Secondary install.,NS service present and Running.,sc query + install log.,Windows,Ticket 206264,
DC_NS_NEW_17,Installation / Uninstallation,High,Machine with stale stub from a previous DC server install.,Verify NS install handles stale old server service,"1. Create the stale state (e.g. service entry remains after botched uninstall).
2. Run the new installer.
3. Verify the installer detects and removes the stale service before NS install.
4. Confirm NS starts after install.",,Upgrade from older build.,Stale service removed; NS installs and starts cleanly.,Install log + sc query dcnotificationserver.,Windows,Ticket 99934,
DC_NS_NEW_18,Service Lifecycle,Medium,NS running; debugger / Process Hacker available.,Verify NS auto-recovers from hang via watchdog,"1. Attach Process Hacker to dcnotificationserver.exe.
2. Suspend the main thread to simulate a hang.
3. Wait long enough for the watchdog interval.
4. Observe service state.",,Suspended main thread.,Watchdog detects unresponsive process; NS service is killed and auto-restarted.,nscontroller.log restart entry; new process ID.,Windows,Ticket 28106,
DC_NS_NEW_19,Network / Firewall / Connectivity,High,Agent host placed behind a WAF that inspects/proxies TLS to NS.,Verify agent registers and runs through WAF,"1. Configure WAF to forward NS port to NS server.
2. Install agent on a host behind the WAF.
3. Wait for registration.
4. Run for 30+ minutes and capture re-registers + livelist entries.
5. Confirm no spurious disconnects.",,WAF in path.,"Agent registers, re-registers every 10 min, livelist sent every 10 min; no spurious drops.",dcnsclientaccess; nsrequestlog livelist cadence.,Windows,Ticket 56167,
DC_NS_NEW_20,Network / Firewall / Connectivity,High,Agent with 3+ NICs in a closed network.,Verify dcondemand iterates IPs until one connects,"1. Identify all agent NIC IPs.
2. On the server, block the agent's primary IP via firewall.
3. Trigger an ondemand task to the agent.
4. Tail dcondemandrequest on the agent.
5. Confirm dcondemand iterates through IPs and connects on a reachable one.",,Agent with 3+ NICs; primary IP blocked.,dcondemand reaches the agent on a non-primary IP.,dcondemandrequest IP iteration trace.,Windows,"Tickets 30501, 194661",
DC_NS_NEW_21,Network / Firewall / Connectivity,Medium,Agent with multiple IPs.,Verify dcondemand fails cleanly when all IPs are blocked,"1. Block all routes from server to agent.
2. Trigger an ondemand task.
3. Tail dcondemandrequest and observe iteration through all IPs.
4. Confirm clean failure surface and no orphan threads on the agent.",,All agent IPs blocked.,Clean failure after iterating all IPs; no crash; no orphan threads.,dcondemandrequest failure entry.,Windows,Ticket 194661,
DC_NS_NEW_22,Network / Firewall / Connectivity,Medium,NS running; test client that can force RST mid-read.,Verify NS handles TCP RST gracefully,"1. Connect a test agent and send partial REGISTER bytes.
2. Force RST via iptables / Windows Filtering Platform rule.
3. Watch NS log for disconnect handling.
4. Connect a fresh valid agent immediately after; confirm registration.",,Forced RST mid-read.,"NS treats it as a disconnect, frees context, continues serving others; no crash.",dcnotificationserverlog disconnect entry.,Windows,ARCHITECTURE: IOCP error path,
DC_NS_NEW_23,Server-NS-Agent Communication,High,Multiple agents registered.,Verify PUSH end-to-end: server -> NS -> clientList,"1. Submit ondemand config to a single agent and capture PUSH on NS + arrival on agent.
2. Submit ondemand config to 100 agents and confirm arrival on all.
3. Verify nsrequestlog records each push id with delivery status.",,Ondemand config to N=1 and N=100.,All agents receive the push within configured LAN/WAN timeout.,nsrequestlog push entries; agent dcconfigondemand log.,Windows,WORKFLOW Sec.2 - PUSH path,
DC_NS_NEW_24,Server-NS-Agent Communication,High,One online agent and one offline agent.,Verify ALIVE_STATUS for a single resourceID,"1. From the server, request ALIVE_STATUS for the online agent.
2. From the server, request ALIVE_STATUS for the offline agent.
3. Cross-check the UI status icons.",,Two resourceIDs - online + offline.,NS returns correct status for each; UI green/red matches.,nsrequestlog ALIVE_STATUS entries.,Windows,WORKFLOW Sec.2 - ALIVE_STATUS,
DC_NS_NEW_25,Server-NS-Agent Communication,Medium,Several agents registered.,Verify LIVE_LIST returns full contact-time list,"1. Trigger a LIVE_LIST request from the server.
2. Compare the returned list with regClientList contents.
3. Verify record count equals gv_regClientCnt.",,Multi-agent set.,Returned list matches GetContactTimeListinNS(); count = gv_regClientCnt.,nsrequestlog LIVE_LIST entry.,Windows,WORKFLOW Sec.2 - LIVE_LIST,
DC_NS_NEW_26,Configuration / Port,Medium,Agent placed in WAN segment.,Verify ns.wanTimeout applies to WAN agents,"1. In dcnsdbsettings.conf set ns.wanTimeout=60.
2. Restart NS.
3. Place an agent on a WAN-classified network.
4. Trigger an ondemand task with the agent unreachable.
5. Measure the timeout duration.",,ns.wanTimeout=60s; agent unreachable.,Failure surfaced after exactly the WAN timeout.,nsrequestlog timeout entry.,Windows,"DC_NS_12, DC_NS_14 extension",
DC_NS_NEW_27,Server-NS-Agent Communication,Medium,DS configured with a known replication cycle.,Verify ondemand via DS waits until next DS replication cycle,"1. Note the DS replication cycle (e.g. 5 min).
2. Submit an ondemand task to an agent under the DS.
3. Record submit time.
4. Record agent arrival time.
5. Compute delta and compare with cycle.",,DS cycle = 5 min.,Arrival = next cycle + epsilon; nsrequestlog records DS handoff.,nsrequestlog + DS replication log.,Windows,Extends DC_NS_30,
DC_NS_NEW_28,Server-NS-Agent Communication,Medium,Agent with dcondemand. OpenSSL build without legacy provider.,Verify dcondemand survives legacy SSL context load attempt,"1. Reconfigure OpenSSL on the agent so the legacy provider is not loaded.
2. Restart the agent.
3. Trigger registration.
4. Confirm dcondemand does not crash.",,OpenSSL without legacy provider.,dcondemand does not crash; falls back or logs explicit error.,Agent crash dump should NOT appear; dcondemand log shows clean error.,Windows,Ticket 194483,
DC_NS_NEW_29,Agent Register / Livelist,High,"Fresh agents on Windows, Mac, and Linux.","Verify REGISTER carries resourceID, domain name, remote office, computer name","1. Install one agent on each OS.
2. Capture the first REGISTER frame via packet capture (Wireshark) or dcnsclientaccess.
3. Verify all four fields are present and match the agent machine.",,One agent each on Windows / Mac / Linux.,All four fields present and correct.,Wireshark capture + dcnsclientaccess fields.,Windows / Mac / Linux,Extends DC_NS_18,
DC_NS_NEW_30,Agent Register / Livelist,Medium,One agent in steady state.,Verify re-register cadence is 10 min +/- 30s,"1. Run the agent for at least 60 minutes idle.
2. Capture all REGISTER frames in that window via dcnsclientaccess.
3. Compute deltas between successive REGISTERs.
4. Verify all deltas are 600s +/- 30s.",,"Single agent, idle network.",All inter-arrival intervals within +/- 30s of 10 minutes.,dcnsclientaccess delta analysis.,Windows,Extends DC_NS_19,
DC_NS_NEW_31,Agent Register / Livelist,Medium,Linux agent registered.,Verify Linux agent retries at NEXT 10-min slot after failure,"1. Wait until t=5 (5 minutes into the agent cycle).
2. Stop NS service.
3. Wait 2 minutes (until t=7).
4. Restart NS.
5. Observe when the agent next sends REGISTER.",,NS down between scheduled slots.,"Agent waits until t=10 (next slot), not immediately at t=7.",Agent dcondemand log timing.,Linux,Extends DC_NS_21,
DC_NS_NEW_32,Agent Register / Livelist,Medium,Windows or Mac agent registered.,Verify Windows/Mac agent retries IMMEDIATELY on failure,"1. Stop NS while the agent is attempting register.
2. Restart NS within 60 seconds.
3. Observe time between NS coming up and agent's next REGISTER.",,NS down ~30s during register.,Agent retries within seconds of NS coming up.,dcondemand log timing.,Windows / Mac,Extends DC_NS_20,
DC_NS_NEW_33,Agent Register / Livelist,Medium,Agent registered.,Verify MONITOR_STATUS keeps socket alive without re-registration,"1. Modify the test agent to send only MONITOR_STATUS frames at heartbeat interval.
2. Run for 30 minutes.
3. Confirm socket stays open and entry remains in regClientList.
4. Confirm no spurious disconnect events.",,Periodic MONITOR_STATUS only.,Socket stays open; regClientList retains entry.,dcnotificationserverlog: no disconnect for this socket.,Windows,WORKFLOW Sec.2 - MONITOR_STATUS,
DC_NS_NEW_34,Logging / Dump / Diagnostics,Medium,NS installed.,Verify DumpCreator.dll absence is detected and logged,"1. Stop NS.
2. Rename <DC_install>/bin/DumpCreator.dll to DumpCreator.dll.bak.
3. Start NS.
4. Inspect dcnotificationserverlog for 'DumpCreator not found' warning.
5. Confirm service stays Running.",,DumpCreator.dll missing.,Warning logged; NS continues without crash-dump support; does not abort startup.,dcnotificationserverlog warning line.,Windows,ARCHITECTURE: DumpCreator.dll path,
DC_NS_NEW_35,Logging / Dump / Diagnostics,High,NS running; gv_NSEnableDumpModule enabled.,Verify crash dump is created on access-violation,"1. Attach a debugger to dcnotificationserver.exe.
2. Force an access violation (e.g. write to a null pointer in a worker thread).
3. Wait for NS to crash.
4. Open <DC_install>/Logs/Dump and confirm a new minidump file.
5. Query nscrashinfo table and confirm a new row with build no and timestamp.",,Forced AV in NS process.,Minidump file present; nscrashinfo row inserted.,Logs/Dump folder + nscrashinfo table.,Windows,"Extends DC_NS_16, DC_NS_45",
DC_NS_NEW_36,Logging / Dump / Diagnostics,Low,Existing dump files in Logs/Dump.,Verify dump rotation keeps at most 50 files,"1. Stop NS.
2. Place 60 dummy .dmp files in Logs/Dump (oldest with older timestamps).
3. Start NS.
4. Wait for RotateDumpLogFiles to run (startup task).
5. Count remaining files.",,60 pre-existing dump files.,Exactly 50 files remain; oldest deleted first.,Logs/Dump file count.,Windows,WORKFLOW Sec.4 - LIM_N0_OF_DUMP_FILES=50,
DC_NS_NEW_37,Logging / Dump / Diagnostics,Medium,NS running.,Verify NSLoggerLevel registry value controls verbosity,"1. Open regedit at HKEY_LOCAL_MACHINE\SOFTWARE\AdventNet\DesktopCentral.
2. Set NSLoggerLevel = 6 (disable). Restart NS.
3. Drive some traffic; confirm log is minimal or empty.
4. Set NSLoggerLevel = 1 (verbose). Restart NS.
5. Drive same traffic; confirm verbose entries appear.",,Registry values 6 and 1.,At 6 logs are minimal; at 1 logs are verbose.,dcnotificationserverlog size and content.,Windows,Extends DC_NS_46,
DC_NS_NEW_38,Logging / Dump / Diagnostics,Low,NS running.,Verify log rotation deletes excess logs and rotates by size,"1. Run NS under a workload that produces log entries quickly.
2. Wait until the active log file exceeds the size threshold.
3. Confirm older logs are moved to the temp folder and pruned.
4. Confirm the active log stays bounded in size.",,Log size exceeds threshold.,Older logs pruned; running log size remains bounded.,Log folder contents over time.,Windows,WORKFLOW Sec.4,
DC_NS_NEW_39,Logging / Dump / Diagnostics,Medium,NS running.,Verify gv_csAccessLog protects dcnsclientaccess under concurrent writes,"1. Launch a load generator driving 200 concurrent registrations.
2. Tail dcnsclientaccess log while load runs.
3. After load finishes, parse the access log line-by-line.
4. Verify all lines are well-formed (no interleaved / truncated lines).",,200 concurrent agent connections.,All log lines well-formed; no missing records vs regClientList.,dcnsclientaccess parser result.,Windows,ARCHITECTURE: gv_csAccessLog,
DC_NS_NEW_40,Service Lifecycle,High,NS running; clean failure counter.,Verify 3 crashes within 1h disables NS and surfaces UI alert,"1. Force crash #1 (attach debugger and AV).
2. Wait for NS auto-restart.
3. Force crash #2 within an hour.
4. Wait for restart.
5. Force crash #3 within the same hour.
6. Query NSDETAILS table and check the Home page banner.",,3 induced crashes within 60 min.,NSDETAILS marks NS disabled; Home page shows 'NS failed to start'; no further auto-restart.,NSDETAILS NS_ENABLED=0; Web console alert.,Windows,"Extends DC_NS_8, DC_NS_9, DC_NS_10",
DC_NS_NEW_41,Service Lifecycle,Medium,After DC_NS_NEW_40 (NS disabled).,Verify operator can re-enable NS by updating NSDETAILS,"1. Set NSDETAILS NS_ENABLED = 1 via DB tool.
2. Restart NS via services.msc.
3. Run a smoke test (register an agent, push a config).",,DB update + restart.,NS resumes accepting connections; smoke test passes.,nsrequestlog activity resumes.,Windows,Extends DC_NS_11,
DC_NS_NEW_42,Service Lifecycle,Medium,NS running.,Verify failure counter resets when crashes are >1h apart,"1. Force crash #1 and wait for restart.
2. Wait 70 minutes.
3. Force crash #2.
4. Open nscontrollerlog and check the failure count of the second crash.",,Crashes spaced > 60 min.,Counter resets to 1 on the second crash; does not reach 3-strike threshold.,nscontrollerlog failure count = 1.,Windows,Extends DC_NS_6,
DC_NS_NEW_43,Configuration / Port,Medium,NS running.,Verify dcnsdbsettings.conf reload on restart,"1. Edit dcnsdbsettings.conf: change ns.lanTimeout, ns.wanTimeout, ns.echoEnable.
2. Save the file.
3. Restart NS.
4. Tail dcnotificationserverlog at startup and confirm LoadNSDBConfSettings prints the new values.
5. Run a behavior test (e.g. force timeout and measure).",,New values for lan/wan timeout and echo.,Runtime behavior matches new conf values.,dcnotificationserverlog config-load entries.,Windows,ARCHITECTURE / WORKFLOW Sec.1 - LoadNSDBConfSettings,
DC_NS_NEW_44,Configuration / Port,Medium,NS running.,Verify ns.echoEnable=true triggers periodic echo to clients,"1. Set ns.echoEnable=true.
2. Restart NS.
3. Take a packet capture between NS and a registered agent.
4. Confirm periodic echo packets.
5. Force a missed echo (block traffic) and verify client cleanup.",,ns.echoEnable=true.,Echo packets sent periodically; missed echo eventually cleans up the client.,Wireshark capture + dcnotificationserverlog cleanup entry.,Windows,ARCHITECTURE: EchoServe.cpp,
DC_NS_NEW_45,Configuration / Port,Medium,NS running.,Verify ns.echoEnable=false disables echo without side-effects,"1. Set ns.echoEnable=false.
2. Restart NS.
3. Capture traffic; confirm no echo packets.
4. Run smoke tests for register, push, livelist.",,ns.echoEnable=false.,No echo traffic; register / PUSH / livelist still work normally.,Wireshark capture + smoke logs.,Windows,ARCHITECTURE: EchoServe.cpp,
DC_NS_NEW_46,Configuration / Port,Low,Fresh machine.,Verify -n / -d / -m install args,"1. Install with: dcnotificationserver.exe -a install -n CustomNS -d 'Custom NS Display' -m 'Custom NS description'.
2. Open services.msc.
3. Locate the service and verify name, display name, description.",,Custom service identity args.,Service shows custom name / display / description.,services.msc properties.,Windows,WORKFLOW Sec.1,
DC_NS_NEW_47,Configuration / Port,Medium,Port 8027 already in use on the target machine.,Verify install fails gracefully when 8027 is busy,"1. Bind port 8027 with netcat: 'nc -l -p 8027'.
2. Run the NS installer (or 'dcnotificationserver.exe -a install').
3. Read the installer output and Web console alert.",,Port held by another process.,Installer surfaces clear 'port already in use' error; Web console alert matches.,Installer output + Web console alert.,Windows,Extends DC_NS_25,
DC_NS_NEW_48,Service Lifecycle,High,Both x86 and x64 build artifacts available.,Verify x86 and x64 NS pass full smoke,"1. On the x86 build run DC_NS_1, DC_NS_17, DC_NS_18, DC_NS_23, DC_NS_29.
2. Repeat on the x64 build.
3. Compare results.",,x86 vs x64 binaries.,Both builds pass identical smoke results.,Smoke results matrix.,Windows x86 / x64,ARCHITECTURE: both solutions,
DC_NS_NEW_49,Installation / Uninstallation,Medium,Tcpip service disabled or stopped.,Verify NS install enforces Tcpip dependency,"1. On the target machine, set Tcpip service to Disabled.
2. Run NS install.
3. Observe installer behavior.",,Tcpip disabled.,Install either fails with a clear dependency error OR re-enables Tcpip and proceeds; dependency visible in service config.,Installer output + sc qc dcnotificationserver.,Windows,ARCHITECTURE: depends on Tcpip,
DC_NS_NEW_50,Installation / Uninstallation,Medium,NS already installed.,Verify second '-a install' is rejected cleanly,"1. Run: dcnotificationserver.exe -a install while the service already exists.
2. Read the output.
3. Confirm the existing service is unaffected.",,Duplicate install attempt.,Installer reports 'already installed'; existing service is not corrupted; no orphan service entry.,Installer output + sc query.,Windows,WORKFLOW Sec.1,
DC_NS_NEW_51,Server-NS-Agent Communication,High,Agent registered.,Verify dcondemandtasks executes task and reports result,"1. Trigger an ondemand inventory scan from server.
2. On the agent watch dcondemandtasks log.
3. After task completion verify a result is pushed back to NS.
4. Confirm the server marks the task complete.",,Ondemand inventory task.,Task runs; result returned via OP_RECEIVE_RESPONSE; server marks complete.,dcondemandtasks + nsrequestlog OP_RECEIVE_RESPONSE.,Windows,WORKFLOW Sec.3 - OP_RECEIVE_RESPONSE,
DC_NS_NEW_52,Server-NS-Agent Communication,Medium,Agent registered.,Verify dcondemand failure path is clean,"1. Trigger an ondemand task that will fail on the agent (e.g. invalid script).
2. Watch dcondemandtasks log on agent.
3. Confirm failure status is returned to NS.
4. Confirm server marks the task failed.
5. Verify no resource leak on either side (handle count).",,Failing task.,Failure surfaced; task marked failed; no resource leak.,dcondemandtasks + nsrequestlog failure entry; handle count.,Windows,WORKFLOW Sec.3,
DC_NS_NEW_53,Server-NS-Agent Communication,Medium,Agent registered; control of DNS A-record for the NS host.,Verify dcondemand re-resolves NS hostname on reconnect,"1. Change the DNS A-record for the NS host to a new IP.
2. Force the agent to disconnect (briefly stop/start NS).
3. Observe dcondemand log on agent during reconnect.
4. Confirm it resolves and connects to the new IP.",,DNS record updated mid-session.,dcondemand re-resolves and connects to new IP; no stale-IP hang.,dcondemand log resolve trace.,Windows,Related to ticket 30501,
DC_NS_NEW_54,IOCP / Threading / Concurrency,Medium,Load generator for 1000 simulated agents.,Verify NS sustains 1000 agents for 8 hours,"1. Bring up 1000 simulated agents that register and send periodic livelist.
2. Run for 8 hours.
3. Every 30 minutes sample: NS CPU %, memory, handle count.
4. Confirm all agents stay registered throughout.
5. After 8 hours check NS service is still Running and no crashes occurred.",,1000 simulated agents for 8h.,"CPU below threshold, memory stable, handle count stable, no crashes, agents stay registered.",Performance counters + service state.,Windows,ARCHITECTURE: capacity,
DC_NS_NEW_55,IOCP / Threading / Concurrency,Low,NS running.,Verify NS handles SOMAXCONN accept-queue overflow,"1. From a load generator open more concurrent TCP connect attempts than SOMAXCONN.
2. Observe NS behavior.
3. Verify accepted connections proceed normally; excess get RST.",,Connection burst.,Excess connections refused with TCP RST; NS does not crash; accepted connections proceed.,tcpdump RST count; NS service state.,Windows,ARCHITECTURE: listen(SOMAXCONN),
DC_NS_NEW_56,IOCP / Threading / Concurrency,Low,Build configured for ASIOserver / ASIOserverTcp.,Verify Boost.Asio variant works equivalently,"1. Build NS with the ASIO variant configuration.
2. Install and start.
3. Run smoke tests (register, push, livelist).
4. Inspect io_context_pool worker counts in logs.",,ASIO variant build.,All smoke tests pass; io_context_pool spins expected number of contexts.,Smoke logs + io_context_pool log entries.,Windows,"ARCHITECTURE: ASIOserver.cpp, io_context_pool.cpp",
DC_NS_NEW_57,Service Lifecycle,Medium,NS running with dependency on DC server service.,Verify CServerServiceStatusListener reacts to dependent stop,"1. Stop the dependent DC server service.
2. Watch dcnotificationserverlog for the listener firing.
3. Verify NS reacts per design (typically logs and signals stop or pauses processing).
4. Restart the dependent service and confirm NS resumes.",,Dependent service stopped/restarted.,Listener fires; NS logs the dependency change and reacts; resumes on restart.,dcnotificationserverlog listener entries.,Windows,ARCHITECTURE: serverservicestatuslistener.cpp,
